,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence
0,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No
1,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No
2,No,No,No,No,Don't know,Somewhat difficult,No,No
3,No,Yes,No,No,No,Somewhat difficult,Yes,Yes
4,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No
5,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No
6,No,No,No,No,No,Somewhat difficult,Maybe,Maybe
7,No,Yes,No,No,Yes,Don't know,No,No
8,Yes,Yes,No,No,No,Very difficult,Maybe,No
9,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No
10,Don't know,No,No,No,Don't know,Don't know,No,No
11,Don't know,Not sure,No,No,Don't know,Don't know,No,No
12,Yes,Yes,No,No,Don't know,Somewhat difficult,Yes,Yes
13,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No
14,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No
15,Yes,Not sure,No,No,Don't know,Somewhat easy,No,No
16,Don't know,No,Don't know,Don't know,Don't know,Very easy,Maybe,No
17,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
18,Yes,Not sure,Yes,Don't know,Yes,Very easy,No,No
19,No,No,Yes,No,Yes,Somewhat easy,No,No
20,Yes,Yes,No,No,No,Somewhat difficult,Maybe,No
21,No,No,No,No,Yes,Somewhat difficult,No,No
22,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
23,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No
24,Yes,Not sure,Don't know,Yes,Yes,Don't know,No,No
25,Yes,Yes,No,Don't know,No,Very easy,Yes,No
26,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Maybe
27,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No
28,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,No,No
29,No,No,No,No,Don't know,Very difficult,Yes,Maybe
30,No,No,No,No,Don't know,Don't know,Yes,Yes
31,No,Yes,No,No,Don't know,Somewhat difficult,Yes,No
32,Don't know,No,No,No,Yes,Somewhat easy,Maybe,No
33,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,No
34,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
35,No,Yes,No,No,Don't know,Very easy,No,No
36,No,No,No,No,Don't know,Very easy,Yes,Maybe
37,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No
38,Yes,Yes,No,Don't know,Don't know,Don't know,No,No
39,Yes,Yes,No,Yes,Yes,Very easy,No,No
40,No,No,No,No,Don't know,Don't know,Maybe,Maybe
41,Yes,Not sure,Don't know,Yes,Don't know,Somewhat difficult,Yes,Yes
42,No,Yes,No,No,Yes,Very difficult,Maybe,No
43,No,Not sure,No,No,Don't know,Somewhat difficult,Yes,Maybe
44,Don't know,No,No,No,Don't know,Don't know,No,No
45,Yes,Yes,No,Yes,Yes,Somewhat easy,No,No
46,Don't know,Not sure,No,No,Don't know,Don't know,No,Maybe
47,No,No,No,No,Don't know,Don't know,No,No
48,No,Yes,Yes,No,Don't know,Don't know,No,No
49,Yes,No,No,Don't know,Don't know,Don't know,Maybe,No
50,No,Yes,No,No,Yes,Very difficult,Maybe,No
51,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No
52,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,Maybe
53,Don't know,Not sure,No,No,Don't know,Don't know,Maybe,No
54,No,No,No,No,Don't know,Don't know,No,No
55,Yes,Yes,No,No,Yes,Don't know,Maybe,No
56,Don't know,No,No,No,Don't know,Somewhat easy,No,No
57,Don't know,No,No,No,Don't know,Don't know,No,Maybe
58,No,No,No,No,Yes,Somewhat easy,No,No
59,Don't know,No,No,No,No,Somewhat difficult,Yes,No
60,Yes,No,No,Don't know,Don't know,Don't know,Yes,Maybe
61,Don't know,Not sure,Yes,Yes,Yes,Very easy,No,No
62,Yes,Not sure,No,Yes,Don't know,Somewhat easy,No,No
63,No,No,No,No,Don't know,Very easy,Yes,No
64,Don't know,No,No,No,Don't know,Somewhat easy,No,No
65,Yes,Yes,Yes,Yes,Don't know,Don't know,Yes,Maybe
66,No,Not sure,No,No,Don't know,Very easy,No,No
67,Yes,No,Don't know,Yes,Don't know,Don't know,Maybe,No
68,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No
69,No,No,No,No,Don't know,Don't know,Maybe,No
70,No,No,No,No,Don't know,Don't know,Maybe,No
71,Don't know,Not sure,Don't know,Don't know,Don't know,Somewhat easy,No,No
72,Yes,Yes,No,No,Yes,Somewhat difficult,Maybe,No
73,No,No,No,Don't know,Yes,Somewhat easy,No,No
74,Don't know,Not sure,Yes,Don't know,Don't know,Don't know,Maybe,No
75,No,Yes,No,No,No,Somewhat difficult,Yes,No
76,Yes,Yes,Yes,Yes,Don't know,Don't know,No,No
77,No,No,No,No,Yes,Somewhat difficult,No,No
78,No,No,No,No,Don't know,Somewhat difficult,Yes,No
79,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,No
80,Yes,Yes,No,Yes,Don't know,Don't know,No,No
81,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,No
82,No,No,No,No,Don't know,Don't know,No,No
83,Yes,Yes,Yes,Yes,Yes,Very easy,Maybe,Maybe
84,No,No,No,No,Don't know,Don't know,Yes,No
85,Don't know,Not sure,No,No,Don't know,Don't know,No,No
86,No,No,No,No,Don't know,Very difficult,Maybe,No
87,Yes,Not sure,No,Don't know,Don't know,Don't know,Yes,Maybe
88,Yes,Yes,No,No,Don't know,Don't know,Maybe,No
89,Don't know,No,No,Don't know,Don't know,Don't know,No,No
90,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No
91,No,Yes,No,No,Yes,Very difficult,No,No
92,Don't know,No,No,No,Don't know,Somewhat easy,Maybe,No
93,Yes,Yes,No,No,Yes,Somewhat easy,No,No
94,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No
95,Don't know,No,No,Don't know,Don't know,Don't know,No,No
