,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_importance,mental_health_importance
0,I don't know,No,Yes,Yes,I don't know,Very easy,Yes,5.0,5.0
1,Yes,No,No,Yes,Yes,I don't know,Maybe,5.0,7.0
2,I don't know,No,No,I don't know,I don't know,Somewhat difficult,No,5.0,4.0
3,I don't know,No,Yes,Yes,Yes,Very easy,Yes,1.0,3.0
4,I don't know,No,I don't know,I don't know,I don't know,I don't know,No,4.0,4.0
5,Yes,No,No,No,I don't know,Somewhat difficult,No,6.0,5.0
6,Yes,Yes,No,I don't know,Yes,Somewhat easy,Maybe,5.0,5.0
7,,,,,,,,,
8,Yes,No,Yes,Yes,Yes,Very easy,Yes,8.0,7.0
9,I don't know,,No,I don't know,I don't know,Somewhat easy,Yes,8.0,8.0
10,Yes,Yes,No,I don't know,Yes,Very easy,Yes,5.0,5.0
11,,,,,,,,,
12,I don't know,No,No,No,Yes,Somewhat easy,Yes,7.0,7.0
13,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Yes,7.0,5.0
14,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,No,7.0,7.0
15,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Maybe,4.0,2.0
16,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Yes,7.0,9.0
17,,,,,,,,,
18,Yes,No,Yes,I don't know,Yes,Very easy,Yes,6.0,6.0
19,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,7.0,6.0
20,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,8.0,7.0
21,Yes,Yes,Yes,Yes,I don't know,I don't know,Yes,10.0,10.0
22,I don't know,No,No,No,Yes,Neither easy nor difficult,Yes,9.0,5.0
23,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,6.0,3.0
24,I don't know,No,No,No,I don't know,Very easy,No,1.0,1.0
25,I don't know,No,No,No,I don't know,Somewhat easy,Yes,5.0,9.0
