,self_employed,no_employees,tech_company,IT_role,benefits,care_options,wellness_program,seek_help,anonymity,leave,phys_health_consequence,mental_health_consequence,Age,Gender,Country,state
0,FALSE,26-100,TRUE,TRUE,I don't know,No,Yes,Yes,I don't know,Very easy,Physical health,Yes,25,Male,United States of America,Nebraska
1,FALSE,26-100,TRUE,TRUE,Yes,No,No,Yes,Yes,I don't know,Physical health,Maybe,51,Male,United States of America,Nebraska
2,FALSE,26-100,TRUE,TRUE,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,No,27,Male,United States of America,Illinois
3,FALSE,100-500,TRUE,TRUE,I don't know,No,Yes,Yes,Yes,Very easy,Physical health,Yes,37,Male,United States of America,Nebraska
4,FALSE,26-100,TRUE,TRUE,I don't know,No,I don't know,I don't know,I don't know,I don't know,Physical health,No,46,Male,United States of America,Nebraska
5,FALSE,100-500,TRUE,FALSE,Yes,No,No,No,I don't know,Somewhat difficult,Physical health,No,36,Female,United States of America,Nebraska
6,FALSE,26-100,TRUE,TRUE,Yes,Yes,No,I don't know,Yes,Somewhat easy,Physical health,Maybe,39,Female,United States of America,Nebraska
7,TRUE,,,,,,,,,,,,35,Male,United States of America,Wisconsin
8,FALSE,26-100,TRUE,TRUE,Yes,No,Yes,Yes,Yes,Very easy,Same level of comfort for each,Yes,49,Male,United Kingdom,
9,FALSE,6-25,TRUE,TRUE,I don't know,,No,I don't know,I don't know,Somewhat easy,Same level of comfort for each,Yes,45,Male,United Kingdom,
10,FALSE,100-500,TRUE,TRUE,Yes,Yes,No,I don't know,Yes,Very easy,Same level of comfort for each,Yes,40,Male,United Kingdom,
11,TRUE,,,,,,,,,,,,37,Male,Netherlands,
12,FALSE,More than 1000,TRUE,TRUE,I don't know,No,No,No,Yes,Somewhat easy,Physical health,Yes,31,Male,United States of America,Connecticut
13,FALSE,500-1000,TRUE,TRUE,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Same level of comfort for each,Yes,37,Male,United States of America,Georgia
14,FALSE,100-500,TRUE,TRUE,Yes,Yes,Yes,I don't know,I don't know,Somewhat difficult,Physical health,No,26,Female,United States of America,Pennsylvania
15,FALSE,100-500,FALSE,TRUE,Yes,Yes,No,Yes,Yes,Neither easy nor difficult,Physical health,Maybe,43,Male,Canada,
16,FALSE,100-500,TRUE,TRUE,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Same level of comfort for each,Yes,35,Male,United States of America,North Carolina
17,TRUE,,,,,,,,,,,,31,Male,Turkey,
18,FALSE,100-500,TRUE,TRUE,Yes,No,Yes,I don't know,Yes,Very easy,Same level of comfort for each,Yes,32,Female,United States of America,New York
19,FALSE,More than 1000,TRUE,TRUE,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Maybe,37,Male,United States of America,Wisconsin
20,FALSE,6-25,TRUE,TRUE,I don't know,No,No,No,I don't know,Somewhat easy,Physical health,Maybe,41,Male,United States of America,Tennessee
21,FALSE,100-500,TRUE,FALSE,Yes,Yes,Yes,Yes,I don't know,I don't know,Physical health,Yes,40,Female,United States of America,New York
22,FALSE,500-1000,TRUE,TRUE,I don't know,No,No,No,Yes,Neither easy nor difficult,Same level of comfort for each,Yes,37,Male,United States of America,New York
23,FALSE,100-500,TRUE,TRUE,Yes,Yes,Yes,Yes,I don't know,Neither easy nor difficult,Physical health,Maybe,53,"Let's keep it simple and say ""male""",United States of America,Oregon
