,self_employed,no_employees,tech_company,IT_role,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,phys_health_interview,obs_consequence
0,0,26-100,1.0,,Not eligible for coverage / N/A,,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No
1,0,6-25,1.0,,No,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No
2,0,6-25,1.0,,No,,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,No
3,1,,,,,,,,,,,,,,,
4,0,6-25,0.0,1.0,Yes,Yes,No,No,No,Neither easy nor difficult,Yes,Maybe,Maybe,No,No,No
5,0,More than 1000,1.0,,Yes,I am not sure,No,Yes,Yes,Somewhat easy,Yes,Yes,Maybe,Yes,No,Yes
6,0,26-100,1.0,,I don't know,No,No,No,I don't know,Somewhat easy,No,No,Maybe,Yes,Yes,No
7,0,More than 1000,1.0,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Maybe,Yes,I don't know,No
8,0,26-100,0.0,1.0,I don't know,No,No,No,I don't know,Very difficult,Yes,Yes,Yes,Maybe,No,No
9,1,,,,,,,,,,,,,,,
10,0,26-100,1.0,,Yes,I am not sure,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No
11,0,100-500,0.0,1.0,Yes,Yes,No,I don't know,I don't know,Somewhat difficult,Yes,No,No,No,No,No
12,0,100-500,1.0,,Yes,I am not sure,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No
13,0,100-500,0.0,1.0,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,No,Maybe,Yes,No
14,0,100-500,1.0,,Yes,Yes,No,I don't know,Yes,Very easy,No,No,Yes,Yes,No,No
15,0,100-500,1.0,,I don't know,No,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,Maybe,Maybe,I don't know,No
16,0,26-100,1.0,,Not eligible for coverage / N/A,No,No,No,I don't know,Very difficult,Maybe,No,Maybe,Maybe,No,No
17,0,500-1000,1.0,,No,No,No,No,I don't know,I don't know,Maybe,No,Yes,Maybe,No,No
18,1,,,,,,,,,,,,,,,
19,0,100-500,0.0,1.0,I don't know,No,No,No,I don't know,I don't know,Yes,No,No,No,Yes,No
20,0,6-25,1.0,,No,,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No
21,0,More than 1000,0.0,1.0,Yes,No,Yes,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No
22,0,26-100,1.0,,Yes,Yes,No,No,I don't know,Very easy,Maybe,Maybe,Maybe,No,I don't know,No
23,0,1-5,1.0,,Yes,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,I don't know,No
24,1,,,,,,,,,,,,,,,
25,0,100-500,0.0,1.0,Yes,Yes,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,No
26,0,26-100,0.0,1.0,No,No,No,No,I don't know,Very difficult,Yes,Yes,No,No,No,No
27,0,100-500,1.0,,I don't know,No,No,No,I don't know,Somewhat difficult,No,No,No,No,I don't know,No
28,0,500-1000,0.0,1.0,I don't know,No,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,No,Maybe,Maybe,I don't know,Yes
29,0,6-25,1.0,,Not eligible for coverage / N/A,,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No
30,0,100-500,1.0,,Not eligible for coverage / N/A,Yes,No,No,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,No,No
31,0,100-500,1.0,,Yes,Yes,No,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,No
32,0,More than 1000,1.0,,I don't know,I am not sure,No,No,I don't know,Very easy,Maybe,No,No,Maybe,No,No
33,1,,,,,,,,,,,,,,,
34,0,26-100,1.0,,Yes,I am not sure,No,I don't know,Yes,Very easy,No,No,Maybe,Yes,Yes,No
35,0,100-500,1.0,,No,No,No,Yes,I don't know,Somewhat easy,Maybe,No,No,No,I don't know,Yes
36,0,26-100,1.0,,Yes,I am not sure,No,Yes,Yes,Very easy,No,No,Yes,Maybe,Yes,No
37,0,100-500,1.0,,No,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No
38,0,100-500,1.0,,No,I am not sure,Yes,No,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,No
39,0,More than 1000,1.0,,Yes,Yes,I don't know,I don't know,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,I don't know,Yes
40,1,,,,,,,,,,,,,,,
41,0,100-500,1.0,,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,No,No
42,0,More than 1000,1.0,,Yes,I am not sure,No,No,Yes,Somewhat difficult,Yes,Maybe,Yes,Yes,No,No
43,1,,,,,,,,,,,,,,,
44,0,More than 1000,0.0,1.0,No,I am not sure,No,No,No,Somewhat difficult,Maybe,No,No,No,No,No
45,0,6-25,1.0,,Yes,Yes,I don't know,Yes,I don't know,Somewhat easy,Maybe,Maybe,Maybe,Maybe,No,No
46,1,,,,,,,,,,,,,,,
47,0,6-25,1.0,,I don't know,No,No,I don't know,I don't know,I don't know,Maybe,No,No,Maybe,I don't know,No
48,1,,,,,,,,,,,,,,,
49,0,6-25,1.0,,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Maybe,I don't know,No
50,0,26-100,1.0,,No,,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,No
51,0,6-25,1.0,,Yes,Yes,No,No,Yes,Very easy,Maybe,Maybe,Yes,Yes,I don't know,No
52,1,,,,,,,,,,,,,,,
53,0,More than 1000,1.0,,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Maybe,Yes,Yes,No
54,0,500-1000,0.0,1.0,Yes,Yes,No,No,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,No
55,0,More than 1000,0.0,0.0,Yes,No,Yes,Yes,I don't know,Somewhat difficult,Maybe,Maybe,Yes,Yes,I don't know,No
56,0,26-100,1.0,,Yes,Yes,No,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No
57,0,100-500,0.0,1.0,Yes,Yes,No,I don't know,Yes,Somewhat difficult,Maybe,No,Maybe,Yes,No,No
58,0,6-25,0.0,1.0,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,No,Maybe,I don't know,No
59,0,100-500,0.0,1.0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,No
60,0,More than 1000,1.0,,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,No,No,Maybe,Yes,No,No
61,0,26-100,0.0,1.0,Not eligible for coverage / N/A,,No,No,I don't know,Very difficult,Yes,No,No,Maybe,No,No
62,0,26-100,1.0,,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Yes,I don't know,No
63,1,,,,,,,,,,,,,,,
64,1,,,,,,,,,,,,,,,
65,1,,,,,,,,,,,,,,,
66,0,6-25,0.0,0.0,No,Yes,No,No,I don't know,Somewhat difficult,Maybe,No,Maybe,Maybe,No,Yes
67,0,More than 1000,1.0,,Yes,I am not sure,Yes,Yes,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,I don't know,No
68,0,100-500,1.0,,Yes,I am not sure,No,I don't know,Yes,I don't know,Maybe,Maybe,No,Maybe,I don't know,No
69,0,26-100,0.0,1.0,No,Yes,No,I don't know,Yes,Very easy,No,No,No,Yes,Yes,No
70,1,,,,,,,,,,,,,,,
71,0,100-500,1.0,,Yes,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,I don't know,No
72,0,6-25,0.0,1.0,I don't know,No,No,No,I don't know,Very difficult,Yes,Maybe,No,No,No,No
73,0,1-5,1.0,,No,No,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No
74,0,26-100,1.0,,Yes,Yes,No,No,Yes,Very easy,No,No,Maybe,Yes,Yes,No
75,0,26-100,1.0,,No,,No,No,I don't know,Very easy,No,No,Maybe,Yes,I don't know,No
76,1,,,,,,,,,,,,,,,
77,0,6-25,1.0,,I don't know,I am not sure,No,No,No,Somewhat easy,No,No,Yes,Maybe,Yes,No
